MYH9	BDPLT6|DFNA17|EPSTS|FTNS|MHA|NMHC-II-A|NMMHC-IIA|NMMHCA
MYO1A	BBMI|DFNA48|MIHC|MYHL
NBN	AT-V1|AT-V2|ATV|NBS|NBS1|P95
NDN	HsT16328|PWCR
NEDD4	NEDD4-1|RPF1
NF1	NFNS|VRNF|WSS
NF2	ACN|BANF|SCH
NFATC2	NFAT1|NFATP
NFKB1	EBP-1|KBF1|NF-kB1|NF-kappa-B|NF-kappaB|NFKB-p105|NFKB-p50|NFkappaB|p105|p50
NGFR	CD271|Gp80-LNGFR|TNFRSF16|p75(NTR)|p75NTR
NINJ1	NIN1|NINJURIN
NKX3-1	BAPX2|NKX3|NKX3.1|NKX3A
NNAT	Peg5
NME1	AWD|GAAD|NB|NBS|NDKA|NDPK-A|NDPKA|NM23|NM23-H1
CNOT3	LENG2|NOT3|NOT3H
NOTCH1	AOS5|AOVD1|TAN1|hN1
NOTCH2	AGS2|HJCYS|hN2
NOTCH3	CADASIL|CASIL|IMF2
NOV	CCN3|IBP-9|IGFBP-9|IGFBP9|NOVh
NPAS2	MOP4|PASD4|bHLHe9
NPM1	B23|NPM
NRCAM	-
NRF1	ALPHA-PAL
NTRK3	TRKC|gp145(trkC)
ROR2	BDB|BDB1|NTRKR2
DDR2	MIG20a|NTRKR3|TKT|TYRO10
NUP98	ADIR2|NUP196|NUP96
OPCML	IGLON1|OBCAM|OPCM
PEBP1	HCNP|HCNPpp|HEL-210|HEL-S-34|PBP|PEBP|PEBP-1|RKIP
PAEP	GD|GdA|GdF|GdS|PAEG|PEP|PP14
PAFAH1B1	LIS1|LIS2|MDCR|MDS|PAFAH
PARK2	AR-JP|LPRS2|PDJ|PRKN
PAWR	PAR4|Par-4
PAX4	KPD|MODY9
PAX5	ALL3|BSAP
PAX6	AN|AN2|D11S812E|FVH1|MGDA|WAGR
PCDHGC3	PC43|PCDH-GAMMA-C3|PCDH2
PCDH8	ARCADLIN|PAPC
PCDH9	-
PDGFRL	PDGRL|PRLTS
PEG3	PW1|ZKSCAN22|ZNF904|ZSCAN24
PF4	CXCL4|PF-4|SCYB4
PFN1	ALS18
PGR	NR3C3|PR
PHB	HEL-215|HEL-S-54e|PHB1
SERPINB5	PI5|maspin
SERPINI2	MEPI|PANCPIN|PI14|TSA2004
PIN1	DOD|UBL5
PKD1	PBP|Pc-1|TRPP1
PKNOX1	PREP1|pkonx1c
PLA2G2A	MOM1|PLA2|PLA2B|PLA2L|PLA2S|PLAS1|sPLA2
PLAGL1	LOT1|ZAC|ZAC1
PLCB3	-
PLCD1	NDNC3|PLC-III
PLD1	-
PLK1	PLK|STPK13
PML	MYL|PP8675|RNF71|TRIM19
PNN	DRS|DRSP|SDK3|memA
4-Sep	ARTS|BRADEION|CE5B3|H5|MART|PNUTL2|SEP4|hCDCREL-2
PPARA	NR1C1|PPAR|PPARalpha|hPPAR
PPARG	CIMT1|GLM1|NR1C3|PPARG1|PPARG2|PPARgamma
PPM1A	PP2C-ALPHA|PP2CA|PP2Calpha
PPP1CA	PP-1A|PP1A|PP1alpha|PPP1A
PPP2CA	PP2Ac|PP2CA|PP2Calpha|RP-C
PPP2CB	PP2Abeta|PP2CB
PPP2R1B	PP2A-Abeta|PR65B
PPP2R2C	B55-GAMMA|IMYPNO|IMYPNO1|PR52|PR55G
PPP2R4	PP2A|PR53|PTPA
PPP2R5C	B56G|PR61G
PPP3CC	CALNA3|CNA3|PP2Bgamma
PRKAA1	AMPK|AMPKa1
PRKAA2	AMPK|AMPK2|AMPKa2|PRKAA
PRKAR1A	ACRDYS1|ADOHR|CAR|CNC|CNC1|PKR1|PPNAD1|PRKAR1|TSE1
PRKCB	PKC-beta|PKCB|PRKCB1|PRKCB2
PRKCD	ALPS3|CVID9|MAY1|PKCD|nPKC-delta
PRKCE	PKCE|nPKC-epsilon
MAPK9	JNK-55|JNK2|JNK2A|JNK2ALPHA|JNK2B|JNK2BETA|PRKM9|SAPK|SAPK1a|p54a|p54aSAPK
MAPK10	JNK3|JNK3A|PRKM10|SAPK1b|p493F12|p54bSAPK
PRODH	HSPOX2|PIG6|POX|PRODH1|PRODH2|TP53I6
PROX1	-
KLK6	Bssp|Klk7|PRSS18|PRSS9|SP59|hK6
HTRA1	ARMD7|CARASIL|HtrA|L56|ORF480|PRSS11
KLK10	NES1|PRSSL1
PTCH1	BCNS|HPE7|NBCCS|PTC|PTC1|PTCH|PTCH11
PTEN	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1
PTGDR	AS1|ASRT1|DP|DP1|PTGDR1
PTPN1	PTP1B
PTPN2	PTN2|PTPT|TC-PTP|TCELLPTP|TCPTP
PTPN6	HCP|HCPH|HPTP1C|PTP-1C|SH-PTP1|SHP-1|SHP-1L|SHP1
PTPN11	BPTP3|CFC|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2
PTPN12	PTP-PEST|PTPG1
PTPN13	FAP-1|PNP1|PTP-BAS|PTP-BL|PTP1E|PTPL1|PTPLE|hPTP1E
PTPRC	B220|CD45|CD45R|GP180|L-CA|LCA|LY5|T200
PTPRD	HPTP|HPTPD|HPTPDELTA|PTPD|RPTPDELTA
PTPRJ	CD148|DEP1|HPTPeta|R-PTP-ETA|SCC1
PTPRK	R-PTP-kappa
RAD23B	HHR23B|HR23B|P58
RAD51C	BROVCA3|FANCO|R51H3|RAD51L2
RAP1A	C21KG|G-22K|KREV-1|KREV1|RAP1|SMGP21
RAP1GAP	RAP1GA1|RAP1GAP1|RAP1GAPII|RAPGAP
RARB	HAP|MCOPS12|NR1B2|RRB2
RARRES3	HRASLS4|HRSL4|PLA1/2-3|RIG1|TIG3
RB1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110
KDM5A	RBBP-2|RBBP2|RBP2
RBBP7	RbAp46
RBBP8	COM1|CTIP|JWDS|RIM|SAE2|SCKL2
RBL1	CP107|PRB1|p107
RBL2	P130|Rb2
RBM4	LARK|RBM4A|ZCCHC21|ZCRB3A
RBP1	CRABP-I|CRBP|CRBP1|CRBPI|RBPC
RNASEL	PRCA1|RNS4
RNH1	RAI|RNH
ROBO1	DUTT1|SAX3
RPA1	HSSB|MST075|REPA1|RF-A|RP-A|RPA70
RPL5	DBA6|L5|PPP1R135
RPL10	AUTSX5|DXS648|DXS648E|L10|NOV|QM
RPL11	DBA7|GIG34|L11
RPS6KA2	HU-2|MAPKAPK1C|RSK|RSK3|S6K-alpha|S6K-alpha2|p90-RSK3|pp90RSK3
S100A2	CAN19|S100L
S100A11	HEL-S-43|MLN70|S100C
SAA1	PIG4|SAA|SAA2|TP53I4
SAFB	HAP|HET|SAF-B1|SAFB1
SALL2	COLB|HSAL2|Sal-2|ZNF795|p150(Sal2)
CXCL12	IRH|PBSF|SCYB12|SDF1|TLSF|TPAR1
SDHA	CMD1GG|FP|PGL5|SDH1|SDH2|SDHF
SDHB	CWS2|IP|PGL4|SDH|SDH1|SDH2|SDHIP
SDHD	CBT1|CII-4|CWS3|PGL|PGL1|QPs3|SDH4|cybS
SEMA3F	SEMA-IV|SEMA4|SEMAK
MAP2K4	JNKK|JNKK1|MAPKK4|MEK4|MKK4|PRKMK4|SAPKK-1|SAPKK1|SEK1|SERK1|SKK1
SFRP1	FRP|FRP-1|FRP1|FrzA|SARP2
SFRP2	FRP-2|SARP1|SDF-5
SFRP4	FRP-4|FRPHE|sFRP-4
SFRP5	SARP3
SIAH1	SIAH1A
SKIL	SNO|SnoA|SnoI|SnoN
SKP2	FBL1|FBXL1|FLB1|p45
SMARCA2	BAF190|BRM|NCBRS|SNF2|SNF2L2|SNF2LA|SWI2|Sth1p|hBRM|hSNF2a
HLTF	HIP116|HIP116A|HLTF1|RNF80|SMARCA3|SNF2L3|ZBU1
SMARCA4	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b
SMARCB1	BAF47|INI1|MRD15|PPP1R144|RDT|RTPS1|SNF5|SNF5L1|SWNTS1|Sfh1p|Snr1|hSNFS
SMARCC1	BAF155|CRACC1|Rsc8|SRG3|SWI3
SOD2	IPOB|MNSOD|MVCD6
SOX1	-
SOX11	MRD27
SOX15	SOX20|SOX26|SOX27
SP100	lysp100b
SPARC	ON
SPI1	OF|PU.1|SFPI1|SPI-1|SPI-A
SPTBN1	ELF|HEL102|SPTB2|betaSpII
ST5	DENND2B|HTS1|p126
ST13	AAG2|FAM10A1|FAM10A4|HIP|HOP|HSPABP|HSPABP1|P48|PRO0786|SNC6
STAT1	CANDF7|IMD31A|IMD31B|IMD31C|ISGF-3|STAT91
STAT3	ADMIO|APRF|HIES
STAT5A	MGF|STAT5
STK10	LOK|PRO2729
STK11	LKB1|PJS|hLKB1
SYK	p72-Syk
TAGLN	SM22|SMCC|TAGLN1|WS3-10
TAT	-
TBX5	HOS
TCEB3	EloA|SIII|SIII p110|TCEB3A
TCF4	E2-2|ITF-2|ITF2|PTHS|SEF-2|SEF2|SEF2-1|SEF2-1A|SEF2-1B|SEF2-1D|TCF-4|bHLHb19
TCF3	E2A|E47|ITF1|TCF-3|VDIR|bHLHb21
TCF7L2	TCF-4|TCF4
TDGF1	CR|CRGF|CRIPTO
TFAP2A	AP-2|AP-2alpha|AP2TF|BOFS|TFAP2
TGFB1	CED|DPD1|LAP|TGFB|TGFbeta
LEFTY2	EBAF|LEFTA|LEFTYA|TGFB4
TGFBI	BIGH3|CDB1|CDG2|CDGG1|CSD|CSD1|CSD2|CSD3|EBMD|LCD1
TGFBR2	AAT3|FAA3|LDS1B|LDS2|LDS2B|MFS2|RIIC|TAAD2|TGFR-2|TGFbeta-RII
TGFBR3	BGCAN|betaglycan
TGM3	TGE
THBD	AHUS6|BDCA3|CD141|THPH12|THRM|TM
THBS1	THBS|THBS-1|TSP|TSP-1|TSP1
THRA	AR7|CHNG6|EAR7|ERB-T-1|ERBA|ERBA1|NR1A1|THRA1|THRA2|c-ERBA-1
THRB	C-ERBA-2|C-ERBA-BETA|ERBA2|GRTH|NR1A2|PRTH|THR1|THRB1|THRB2
THY1	CD90
KLF10	EGR-alpha|EGRA|TIEG|TIEG1
TIMP3	HSMRK222|K222|K222TA2|SFD
TNFAIP3	A20|OTUD7C|TNFA1P2
TP53	BCC7|LFS1|P53|TRP53
TP53BP1	53BP1|p202
TP53BP2	53BP2|ASPP2|BBP|P53BP2|PPP1R13A
TP73	P73
NR2C2	TAK1|TR4
HSP90B1	ECGP|GP96|GRP94|HEL-S-125m|HEL35|TRA1
TSC1	LAM|TSC
TSC2	LAM|PPP1R160|TSC4
TSG101	TSG10|VPS23
PHLDA2	BRW1C|BWR1C|HLDA2|IPL|TSSC3
TTC4	-
TTF1	TTF-1|TTF-I
HIRA	DGCR1|TUP1|TUPLE1
UCHL1	HEL-117|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1
KDM6A	KABUK2|UTX|bA386N14.2
UVRAG	DHTX|VPS38|p63
VDR	NR1I1|PPP1R163
VEGFA	MVCD1|VEGF|VPF
VHL	HRCA1|RCA1|VHL1|pVHL
VIL1	D2S1471|VIL
VIM	CTRCT30|HEL113
VSNL1	HLP3|HPCAL3|HUVISL1|VILIP|VILIP-1
LAT2	LAB|NTAL|WBSCR15|WBSCR5|WSCR5
WNT5A	hWNT5A
WNT7A	-
WNT11	HWNT11
WT1	AWT1|EWS-WT1|GUD|NPHS4|WAGR|WIT-2|WT33
XRCC5	KARP-1|KARP1|KU80|KUB2|Ku86|NFIV
ZFP36	G0S24|GOS24|NUP475|RNF162A|TIS11|TTP|zfp-36
ZIC1	ZIC|ZNF201
PCGF2	MEL-18|RNF110|ZNF144
ZBTB16	PLZF|ZNF145
ZNF185	-
ZYX	ESP-2|HED-2
PRDM2	HUMHOXY1|KMT8|MTB-ZF|RIZ|RIZ1|RIZ2
BTG2	PC3|TIS21
SEMA3B	LUCA-1|SEMA5|SEMAA|SemA|semaV
RAB7A	PRO2706|RAB7
PLA2G7	LDL-PLA2|LP-PLA2|PAFAD|PAFAH
AIMP2	JTV-1|JTV1|P38
TFPI2	PP5|REF1|TFPI-2
ST7	ETS7q|FAM4A|FAM4A1|HELG|RAY1|SEN4|TSG7
