id	filename	md5	size	state
1a5a3b98-aeb0-44d6-8f6a-91316ad64ca4	jhu-usc.edu_BLCA.HumanMethylation450.13.lvl-3.TCGA-BT-A42E-01A-11D-A23V-05.gdc_hg38.txt	c92216c6a46a4bcc219caddedf9f0ff3	141284354	live
1a7d87ca-dabd-4ae4-8378-68aa001059f4	jhu-usc.edu_THCA.HumanMethylation450.16.lvl-3.TCGA-MK-A4N9-01A-11D-A258-05.gdc_hg38.txt	38d489fe94b0e8ee07278dbc51e7de26	141302599	live
5541e702-4762-4e41-ba15-5d376e26a61a	jhu-usc.edu_ESCA.HumanMethylation450.2.lvl-3.TCGA-LN-A49U-01A-31D-A265-05.gdc_hg38.txt	d47adb02fe12474e12ebdba6eefc8717	141312213	live
398d68e7-3f9e-482a-a6ee-1059533a756c	jhu-usc.edu_KIRP.HumanMethylation450.5.lvl-3.TCGA-GL-8500-01A-11D-2399-05.gdc_hg38.txt	b3a308584cfe2c55d7aa397322a2cf90	141312529	live
ba4469b0-0cb1-4c67-9502-36d5563a9119	jhu-usc.edu_UCEC.HumanMethylation450.10.lvl-3.TCGA-BG-A220-01A-11D-A161-05.gdc_hg38.txt	b0d1a40be4855fef5b1648d8f3b7d16e	141302742	live
80947fa2-8712-4e46-8cc3-bfeec7f7cd1c	jhu-usc.edu_KIRP.HumanMethylation450.1.lvl-3.TCGA-BQ-5882-11A-01D-1590-05.gdc_hg38.txt	3044ebbfbd87373f03c36cb265924e0b	141276656	live
bf474fcf-d69d-41f6-9ab3-5f72c5af2d6c	jhu-usc.edu_PRAD.HumanMethylation450.1.lvl-3.TCGA-EJ-5524-01A-01D-1578-05.gdc_hg38.txt	959b1bd562fd834fa04202a0778d1888	141284753	live
82d1a34b-aa86-4605-b15e-eabad756b943	jhu-usc.edu_UCEC.HumanMethylation450.3.lvl-3.TCGA-D1-A15X-01A-11D-A123-05.gdc_hg38.txt	3cae44a045f26ba4e2967549714efa1d	141281992	live
5465fa07-5675-41dc-ab17-0b75eb869e3e	jhu-usc.edu_BLCA.HumanMethylation450.9.lvl-3.TCGA-FD-A3SQ-01A-21D-A231-05.gdc_hg38.txt	f58724bdd5517997c5a78db0fa81fead	141283424	live
68003d01-8988-4e0d-86ea-5ed0f87ebd3d	jhu-usc.edu_UCEC.HumanMethylation450.4.lvl-3.TCGA-D1-A16G-01A-31D-A12K-05.gdc_hg38.txt	9ce3addbaee2a2f77fb444f06c2fa079	141283465	live
